how's your mother?	hur mår din mor?
i like folk songs.	jag tycker om folksånger.
rubbish!	struntprat!
watching tv is fun.	det är kul att titta på tv.
let go of him!	släpp honom!
i can still fight.	jag kan fortfarande strida.
i saw one yesterday.	jag såg ett igår.
what do you mean by that?	vad menar du med det?
don't be deceived, my dear friends.	låt er inte luras, mina kära vänner.
tom has helped a lot.	tom har hjälpt till mycket.
i'm most dangerous at night.	jag är farligast om natten.
the sculptures are of great value.	skulpturerna är av högt värde.
it isn't raining much this year.	det har inte regnat mycket det här året.
go sit in the car.	gå sitt i bilen.
tom is courteous.	tom är hövlig.
give tom a moment.	ge tom ett ögonblick.
what can you see?	vad kan du se?
welcome to paradise.	välkommen till paradiset.
i'm not dishonest.	jag är inte oärlig.
tom left the water running.	tom lämnade kranen på.
you know where the problem lies.	du vet var problemet ligger.
i love apples.	jag älskar äpplen.
i know tom is right.	jag vet att tom har rätt.
tom isn't contributing.	tom bidrar inte.
i must sleep now.	jag måste sova nu.
i don't understand why tom shouldn't do that.	jag förstår inte varför tom inte ska göra det.
the cat is big and furry.	katten är stor och pälsig.
if you want to be happy, be happy.	om du vill vara lycklig, var lycklig.
was tom murdered?	blev tom mördad?
i'll be in my office.	jag är på mitt kontor.
i haven't smoked for years.	jag har inte rökt på åratal.
who did you talk with?	vilka pratade ni med?
tom is still afraid to do that.	tom är fortfarande rädd för att göra det.
i have lots of second-hand books for sale, all at affordable prices.	jag har massor av begagnade böcker till salu, allt till överkomliga priser.
i'm going crazy.	jag håller på att bli galen.
interesting.	intressant.
stand still!	stå stilla!
she always has more than me.	hon har alltid mer än mig.
it's unbelievable.	det är otroligt.
i haven't yet been paid.	jag har inte fått betalt ännu.
you are a beautiful butterfly.	du är en vacker fjäril.
i know you'd never do that intentionally.	jag vet att du aldrig skulle göra det avsiktligt.
the red umbrella reminded her of her grandma.	det röda paraplyt påminde henne om sin farmor.
tom read the bible.	tom läste bibeln.
i need mosquito repellent.	jag behöver myggmedel.
have you ever used instagram?	har ni någonsin använt instagram?
most europeans can't tell the difference between japanese and chinese people.	de flesta européer kan inte skilja japaner från kineser.
we had a good day.	vi hade en bra dag.
dinosaurs are now extinct.	dinosaurier är nu utdöda.
have you checked the oil level recently?	har du kollat oljenivån nyligen?
i didn't want to disturb them.	jag ville inte störa dem.
we're better than they are.	vi är bättre än de.
she's pretty, but dangerous.	hon är vacker, men farlig.
she isn't wearing any makeup.	hon har inget smink på sig.
you look very pale. are you ok?	du ser väldigt blek ut. mår du bra?
is it time?	är tiden inne?
most castles have a moat surrounding them.	de flesta slott omges av en vallgrav.
we are baking cookies.	vi bakar kakor.
tom is afraid mary won't believe him.	tom är rädd för att maria inte ska tro honom.
tom likes lobster.	tom tycker om hummer.
i'm too old to work.	jag är för gammal för att arbeta.
i've done what i can for you.	jag har gjort allt jag kan för dig.
in most cases, modernization is identified with westernization.	i de flesta fall likställs modernisering med västernisering.
i've just started learning how to play the tuba.	jag har just börjat lära mig hur man spelar tuba.
this is impossible.	detta är omöjligt.
he is my enemy.	han är min fiende.
tom is expected to arrive momentarily.	tom är förväntad att anlända inom kort.
how is this fair?	hur kan det här vara rättvist?
she lives in kyoto.	hon bor i kyoto.
we actually don't have to do that now.	vi behöver faktiskt inte göra det nu.
i wonder what they'll do next.	jag undrar vad de kommer göra sen.
i'm to blame.	det är mitt fel.
humor me.	gör mig till viljes.
tom hates liars.	tom hatar lögnare.
i wasn't even there.	jag var inte ens där.
it's about time i was going home.	det börjar bli dags att gå hem.
did i do that?	gjorde jag det där?
you are in my seat.	du sitter på min plats.
he doesn't have any friends to play with.	han har inga vänner att leka med.
his parents are dead.	hans föräldrar är döda.
he used her bike without asking permission.	han använde hennes cykel utan att fråga om lov.
do you have a phone?	har ni en telefon?
i scare easily.	jag är lättskrämd.
a glass of cold water, please!	ett glas kallt vatten, tack!
is he sleeping?	sover han?
elves have pointy ears.	alver har spetsiga öron.
she helped the poor.	hon hjälpte fattiga.
the teacher interpreted the sentence for us.	läraren tolkade meningen åt oss.
has everybody eaten?	har alla ätit?
it's fun.	det är roligt.
have you got your tickets?	har du dina biljetter?
marriage is for women the commonest mode of livelihood, and the total amount of undesired sex endured by women is probably greater in marriage than in prostitution.	giftermål är för kvinnor det vanligaste sättet för försörjning, och den totala mängden av oönskat sex uthärdat av kvinnor är förmodligen större i giftermål än i prostitution.
tom is exceptionally good-looking.	tom är ytterst snygg.
i need an aspirin.	jag behöver en huvudvärkstablett.
she plays the piano every day.	hon spelar piano varje dag.
that country has a trade surplus. it exports more than it imports.	det landet har ett handelsöverskott. det exporterar mera än det importerar.
you're really quite stupid.	du är allt bra dum.
mary likes milk very much.	mary gillar mjölk väldigt mycket.
anything else?	någonting annat?
do you know where my old glasses are?	vet du var mina gamla glasögon är?
he's ready.	han är redo.
her white shoes leave dark red traces.	hennes vita skor lämnar mörkröda spår.
she says she won't let you come home.	hon säger att hon inte ska låta dig komma hem.
the inhabitants of the island are friendly.	invånarna på ön är vänliga.
did you really say that to tom?	sa du verkligen det till tom?
you ran into him earlier, didn't you?	ni stötte på honom tidigare, eller hur?
i went to the bank.	jag gick till banken.
what do they know?	vad vet de?
kati drinks every day.	kati dricker varje dag.
i feel sad.	jag känner mig ledsen.
did you watch the game?	såg du matchen?
forget i said that.	glöm att jag sa det där.
how much of this is tom's fault?	hur mycket av det här är toms fel?
he said he had bought that book there the day before.	han sa att han hade köpt den boken där dagen innan.
your hair is pretty.	du är fin i håret.
come on back here.	kom tillbaka.
i felt ill at ease.	jag kände mig smått illamående.
everyone laughed except her.	alla skrattade utom hon.
my house is ten minutes' walk from the station.	mitt hus ligger tio minuters gångväg från stationen.
the reasons were unclear.	anledningarna var oklara.
tom accidentally broke his favorite coffee mug.	tom råkade ta sönder sin favoritkopp.
the police detained several suspects for questioning.	polisen grep ett flertal misstänkta för förhör.
he reads.	han läser.
good morning, tom.	god morgon, tom.
they have eaten.	de har ätit.
it's our destiny.	det är vårt öde.
children are our future.	barnen är vår framtid.
we are classmates.	vi är klasskompisar.
i hate my sister.	jag hatar min syster.
you have to take care of the planet.	man måste ta hand om planeten.
tom still looks depressed.	tom ser fortfarande deprimerad ut.
children need love.	barn behöver kärlek.
i refuse to help.	jag vägrar hjälpa.
melanie likes music.	melanie gillar musik.
i would've done exactly what you did.	jag skulle ha gjort exakt det som du gjorde.
i think he's competent.	jag tycker att han är skicklig.
tom often dreams of his girlfriend.	tom drömmer ofta om sin flickvän.
help!	hjälp!
monday begins on saturday.	måndag börjar på lördag.
get your coat, tom.	hämta din rock, tom.
what a big house you have!	vilket stort hus du har!
what happens tomorrow?	vad händer i morgon?
i think my husband is crazy.	jag tror att min make är galen.
i can't help you.	jag kan inte hjälpa dig.
yesterday is history, tomorrow is a mystery, but today is a gift. that is why it is called the "present".	gårdagen har redan varit, morgondagen är oss okänd, men denna dag är en present. det är därför den omtalas i presens.
the world is evil.	världen är ond.
do you want some?	vill du ha litet?
i think i have done my bit; it's your turn now.	jag tror att jag har gjort mitt; det är din tur nu.
i thought i was happy.	jag tyckte att jag var lycklig.
you have to ask tom.	ni måste fråga tom.
it would've been fun.	det skulle ha varit roligt.
it's my decision.	det är mitt beslut.
